Major,Program
Computer Science,Commercial and Advertising Art
"Chemistry, General",Commercial and Advertising Art
"Physics, General",Commercial and Advertising Art
"Social Sciences, General",Commercial and Advertising Art
"Social Sciences, General","Communication, Journalism, and Related Programs, Other"
"Drama and Dramatics/Theatre Arts, General","Communication, Journalism, and Related Programs, Other"
"Fine/Studio Arts, General","Communication, Journalism, and Related Programs, Other"
"Biology/Biological Sciences, General","Communication, Journalism, and Related Programs, Other"
Computer Science,"Communication, Journalism, and Related Programs, Other"
"Business Administration and Management, General","Communication, Journalism, and Related Programs, Other"
"Mathematics, General","Communication, Journalism, and Related Programs, Other"
"Economics, General","Communication, Journalism, and Related Programs, Other"
"Psychology, General","Communication, Journalism, and Related Programs, Other"
Anthropology,"Communication, Journalism, and Related Programs, Other"
"Multi-/Interdisciplinary Studies, Other","Rhetoric and Composition/Writing Studies, Other"
Women's Studies,"Rhetoric and Composition/Writing Studies, Other"
American Indian/Native American Studies,"Rhetoric and Composition/Writing Studies, Other"
Latin American Studies,"Rhetoric and Composition/Writing Studies, Other"
European Studies/Civilization,"Rhetoric and Composition/Writing Studies, Other"
Liberal Arts and Sciences/Liberal Studies,"Rhetoric and Composition/Writing Studies, Other"
Rhetoric and Composition,"Rhetoric and Composition/Writing Studies, Other"
"Biology/Biological Sciences, General","Rhetoric and Composition/Writing Studies, Other"
"Social Sciences, General","Rhetoric and Composition/Writing Studies, Other"
"Mathematics, General","Rhetoric and Composition/Writing Studies, Other"
Rhetoric and Composition,Rhetoric and Composition
Rhetoric and Composition,Speech Communication and Rhetoric
"Business Administration and Management, General","Communication, General"
"Social Sciences, General","Communication, General"
"Economics, General","Communication, General"
"Psychology, General","Communication, General"
"History, General","Communication, General"
"English Language and Literature, General","Communication, General"
"Political Science and Government, General","Communication, General"
"Biology/Biological Sciences, General","Communication, General"
"Chemistry, General","Communication, General"
"Physics, General","Communication, General"
"English Language and Literature, General",General Literature
"Business Administration and Management, General",General Literature
German Language and Literature,General Literature
French Language and Literature,General Literature
Spanish Language and Literature,General Literature
Rhetoric and Composition,General Literature
"Social Sciences, General",General Literature
"Economics, General",General Literature
"Psychology, General",General Literature
"History, General",General Literature
Women's Studies,Mass Communication/Media Studies
American Indian/Native American Studies,Mass Communication/Media Studies
Latin American Studies,Mass Communication/Media Studies
European Studies/Civilization,Mass Communication/Media Studies
Environmental Studies,Mass Communication/Media Studies
Sport and Fitness Administration/Management,Mass Communication/Media Studies
Liberal Arts and Sciences/Liberal Studies,Mass Communication/Media Studies
"Multi-/Interdisciplinary Studies, Other",Mass Communication/Media Studies
French Language and Literature,Mass Communication/Media Studies
"Biology/Biological Sciences, General",Mass Communication/Media Studies
"Business Administration and Management, General",", ""Children"
"Psychology, General",", ""Children"
German Language and Literature,"s and Adolescent Literature"""
French Language and Literature,"s and Adolescent Literature"""
Spanish Language and Literature,"s and Adolescent Literature"""
"English Language and Literature, General","s and Adolescent Literature"""
Rhetoric and Composition,"s and Adolescent Literature"""
"Business Administration and Management, General",Directing and Theatrical Production
Rhetoric and Composition,Directing and Theatrical Production
"Drama and Dramatics/Theatre Arts, General",Directing and Theatrical Production
"Art History, Criticism and Conservation","Dramatic/Theatre Arts and Stagecraft, Other"
"Fine/Studio Arts, General","Dramatic/Theatre Arts and Stagecraft, Other"
"Drama and Dramatics/Theatre Arts, General","Dramatic/Theatre Arts and Stagecraft, Other"
Liberal Arts and Sciences/Liberal Studies,"Dramatic/Theatre Arts and Stagecraft, Other"
"Biology/Biological Sciences, General","Dramatic/Theatre Arts and Stagecraft, Other"
"Social Sciences, General","Dramatic/Theatre Arts and Stagecraft, Other"
"Mathematics, General","Dramatic/Theatre Arts and Stagecraft, Other"
"History, General","Dramatic/Theatre Arts and Stagecraft, Other"
Computer Science,"Dramatic/Theatre Arts and Stagecraft, Other"
"Business Administration and Management, General","Dramatic/Theatre Arts and Stagecraft, Other"
"Drama and Dramatics/Theatre Arts, General","Drama and Dramatics/Theatre Arts, General"
"Art History, Criticism and Conservation","Drama and Dramatics/Theatre Arts, General"
"Fine/Studio Arts, General","Drama and Dramatics/Theatre Arts, General"
"Business Administration and Management, General","Drama and Dramatics/Theatre Arts, General"
"Biology/Biological Sciences, General","Drama and Dramatics/Theatre Arts, General"
"Chemistry, General","Drama and Dramatics/Theatre Arts, General"
"Physics, General","Drama and Dramatics/Theatre Arts, General"
"Social Sciences, General","Drama and Dramatics/Theatre Arts, General"
"Mathematics, General","Drama and Dramatics/Theatre Arts, General"
"Economics, General","Drama and Dramatics/Theatre Arts, General"
"Drama and Dramatics/Theatre Arts, General",Musical Theatre
"Art History, Criticism and Conservation",Musical Theatre
"Fine/Studio Arts, General",Musical Theatre
Women's Studies,Film/Cinema/Video Studies
American Indian/Native American Studies,Film/Cinema/Video Studies
Latin American Studies,Film/Cinema/Video Studies
European Studies/Civilization,Film/Cinema/Video Studies
Environmental Studies,Film/Cinema/Video Studies
Sport and Fitness Administration/Management,Film/Cinema/Video Studies
Liberal Arts and Sciences/Liberal Studies,Film/Cinema/Video Studies
"Multi-/Interdisciplinary Studies, Other",Film/Cinema/Video Studies
French Language and Literature,Film/Cinema/Video Studies
"Biology/Biological Sciences, General",Film/Cinema/Video Studies
